date	accomp	business	education	errands	home	leisure	shop_daily	shop_other	traveling	undefined	visit	work	notAtHome	notAtHomeExceptLeisureAndEdu	notAtHomeExceptEdu	notAtHome_22
20200302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20200303	6	2	-1	5	-1	1	-3	-2	5	34	-27	1	2	3	2	6
20200304	-3	-3	-1	-2	0	-8	0	3	6	27	-22	5	-1	2	-1	0
20200305	3	-1	-1	-2	0	-9	-2	4	7	41	-27	6	-1	3	-1	2
20200306	6	-11	-11	1	-1	6	2	3	13	53	-1	-5	1	0	2	30
20200307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20200308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20200309	-2	-4	0	-4	1	-10	-3	-1	3	24	-26	3	-3	0	-3	-6
20200310	1	0	3	-3	0	-5	0	1	1	19	-32	6	0	2	0	-1
20200311	-1	1	-5	2	-1	1	-2	2	2	36	-25	5	2	3	2	15
20200312	-1	-5	6	-4	0	-6	-5	9	9	53	-19	5	0	2	-1	2
20200313	2	-15	-11	-5	1	1	2	2	7	50	-10	-8	-3	-4	-2	17
20200314	-18	-3	-19	-4	3	-4	-13	-12	-16	-26	13	-4	-7	-11	-7	-11
20200315	-7	-24	-2	-10	2	-6	-20	-10	-13	-6	3	-14	-8	-11	-8	-4
20200316	-17	-16	-29	-9	6	-6	-10	-3	-11	22	-29	-17	-12	-13	-11	-4
20200317	-19	-26	-37	-15	8	-7	-15	-10	-18	12	-39	-23	-17	-19	-15	-9
20200318	-22	-32	-43	-20	10	-12	-22	-16	-24	1	-45	-25	-21	-24	-20	-11
20200319	-26	-37	-49	-23	11	-10	-32	-18	-27	6	-47	-30	-24	-28	-22	-12
20200320	-35	-43	-49	-32	13	-9	-29	-26	-31	-24	-50	-37	-28	-35	-27	-11
20200321	-44	-29	-26	-39	12	-27	-34	-38	-47	-41	-27	-19	-32	-38	-32	-40
20200322	-40	-52	-32	-37	9	-27	-28	-34	-45	-35	-35	-30	-31	-38	-31	-25
20200323	-37	-45	-52	-35	15	-19	-37	-35	-40	-8	-54	-37	-33	-38	-32	-21
20200324	-40	-44	-50	-36	15	-22	-36	-37	-40	-10	-52	-36	-34	-38	-33	-23
20200325	-37	-44	-50	-34	15	-18	-35	-32	-39	-12	-51	-37	-32	-37	-31	-21
20200326	-38	-42	-50	-32	14	-17	-34	-31	-38	-9	-44	-37	-31	-36	-30	-20
20200327	-34	-50	-54	-33	14	-12	-32	-29	-35	-18	-30	-41	-31	-38	-30	-16
20200328	-51	-47	-37	-41	13	-30	-42	-43	-49	-65	-33	-35	-38	-45	-38	-50
20200329	-46	-62	-34	-45	10	-30	-48	-46	-58	-42	-37	-36	-36	-47	-36	-24
20200330	-34	-44	-54	-31	14	-12	-35	-32	-39	1	-49	-37	-30	-36	-28	-14
